Load Record,Item Number
9222452,2546
921113,120457
9232470,5594
9232464,7640
9241218,3067
9242543,101333
9242027,415
9241246,11361
9252248,368
9241512,46089
9242402,9527
9242544,13497
9251512,1109
9252211,6020
9252211,6717
9251195,8149
9251195,8153
9251195,8323
9251195,12727
9251512,2030
9251195,16985
9251195,16993
9251195,16999
9251195,17171
9251195,17629
9251195,17687
9251195,17786
9251211,2528
9251211,3186
9251211,3935
9251977,226
9252435,5662
9252046,1430
9252376,1335
9252423,3301
9251243,3195
9251243,4528
9251243,4555
9251243,4687
9253102,48431
9253102,48540
9252033,10520
9252046,2893
9252320,1942
9252248,15612
